category,metric,value
overall,total_queries,200
overall,recall_at_10,0.975
overall,mrr,0.7558
overall,ndcg_at_10,0.8115
overall,latency_p50_ms,1.0
overall,latency_p95_ms,64.0
overall,latency_p99_ms,71.0
self,recall_at_10,0.95
self,mrr,0.7162
citation,recall_at_10,1.0
citation,mrr,0.7954
errors,api_errors,0
errors,empty_results,0
mode_distribution,citation_lookup,108
mode_distribution,hybrid_rrf,92
meta,search_mode,hybrid
meta,top_k,10
meta,tag,hybrid_v1
meta,timestamp,2026-01-31T03:56:55.794172
